trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
398,False,"{'e': 0.018685639337732773, 'a': 0.1}",25,20,9.226985839462204,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'e': 0.018499714119819242, 'a': 0.1}",25,16,16.205048151650516,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'e': 0.01831563888873418, 'a': 0.1}",30,10,33.47872941270055,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'e': 0.018133395236801075, 'a': 0.1}",20,9,22.068590691238214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'e': 0.01795296493950285, 'a': 0.1}",30,24,10.437422252570212,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'e': 0.01777432995365944, 'a': 0.1}",25,20,9.81876859162448,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'e': 0.017597472415623393, 'a': 0.1}",20,6,23.670507305108163,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'e': 0.017422374639493515, 'a': 0.1}",25,15,21.92159763685925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'e': 0.017249019115346265, 'a': 0.1}",20,4,30.34229967541951,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'e': 0.017077388507484793, 'a': 0.1}",25,14,-0.5704489591592252,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
408,False,"{'e': 0.01690746565270528, 'a': 0.1}",25,20,10.97398646674505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'e': 0.016739233558580632, 'a': 0.1}",20,10,17.585131263497434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'e': 0.016572675401761255, 'a': 0.1}",25,11,27.745666337410928,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'e': 0.016407774526292645, 'a': 0.1}",30,12,32.51390501312632,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'e': 0.01624451444194987, 'a': 0.1}",25,11,23.07390527099419,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'e': 0.016082878822588433, 'a': 0.1}",30,21,16.93992050084136,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'e': 0.015922851504511698, 'a': 0.1}",20,14,14.60508700842132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'e': 0.015764416484854486, 'a': 0.1}",35,13,13.892769820853612,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
416,False,"{'e': 0.01560755791998283, 'a': 0.1}",25,0,33.22694303417067,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
417,False,"{'e': 0.015452260123909515, 'a': 0.1}",20,16,8.808562065003933,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'e': 0.015298507566725518, 'a': 0.1}",20,15,8.288348854392934,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'e': 0.01514628487304698, 'a': 0.1}",20,14,9.312899054133922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'e': 0.014995576820477703, 'a': 0.1}",25,7,36.621369643147936,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'e': 0.014846368338086832, 'a': 0.1}",25,15,17.072951251853688,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'e': 0.014698644504901784, 'a': 0.1}",20,13,3.789181177481858,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
423,False,"{'e': 0.014552390548416123, 'a': 0.1}",20,10,19.541057161809416,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'e': 0.01440759184311235, 'a': 0.1}",20,14,9.913359406537513,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'e': 0.014264233908999256, 'a': 0.1}",20,3,17.785930280633433,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
426,False,"{'e': 0.014122302410163962, 'a': 0.1}",20,14,-29.648368255981875,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
427,False,"{'e': 0.013981783153338296, 'a': 0.1}",20,16,7.119217357449533,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'e': 0.013842662086479501, 'a': 0.1}",30,20,15.379489739138982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'e': 0.013704925297364945, 'a': 0.1}",20,16,7.257689236317041,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'e': 0.013568559012200934, 'a': 0.1}",25,16,19.616678130397062,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'e': 0.013433549594245302, 'a': 0.1}",25,11,27.896906257480193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'e': 0.013299883542443767, 'a': 0.1}",20,10,13.697069404378958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'e': 0.013167547490079751, 'a': 0.1}",25,19,13.658744577707349,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'e': 0.013036528203437736, 'a': 0.1}",20,11,17.012937002103534,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'e': 0.012906812580479862, 'a': 0.1}",20,10,-26.93565923107682,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
